# Expansion set. Same format as words.txt:
# word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example

# ---------------- Verb Tenses ----------------
shrink back|verb|To move away in fear|umatras|Umurong dahil sa takot|He shrank back from the dog.
solve|verb|To find an answer to a problem|lutasin|Hanapan ng sagot ang problema|She solved the puzzle quickly.
sort|verb|To arrange things into groups|pag-uriin|Ihanay ayon sa uri|Sort the letters by date.
specify|verb|To state something exactly|tukuyin|Sabihin nang eksakto|Specify the size you need.
spoil|verb|To damage the quality of something|sirain|Bawasan ang kalidad|Too much salt spoils the dish.
spread rapidly|verb|To reach a wider area quickly|kumalat|Sumakop nang mabilis|The fire spread rapidly.
squeeze|verb|To press something firmly|pisilin|Idiin nang mahigpit|Squeeze the lemon.
stabilise|verb|To make something steady|patatagin|Gawing matatag|Prices finally stabilised.
stimulate|verb|To encourage something to develop|pasiglahin|Hikayating umunlad|Grants stimulate research.
strengthen|verb|To make something stronger|palakasin|Gawing mas malakas|Exercise strengthens bones.
stretch|verb|To make something longer or wider|iunat|Gawing mas mahaba o malapad|Stretch before running.
struggle|verb|To try hard against difficulty|magpumilit|Magsikap laban sa hirap|She struggled with the language.
submit|verb|To give something for consideration|isumite|Ibigay para sa pagsusuri|Submit your form by Friday.
succeed|verb|To achieve what you wanted|magtagumpay|Makamit ang ninanais|She succeeded at the second attempt.
suffer|verb|To experience something unpleasant|magdusa|Danasin ang masakit|The region suffered badly.
suggest gently|verb|To put forward an idea|imungkahi|Maglahad ng ideya|May I gently suggest a break?
supply|verb|To provide goods or services|maglaan|Magbigay ng paninda o serbisyo|They supply local schools.
surrender|verb|To stop fighting and give in|sumuko|Tumigil sa laban at pumayag|The garrison surrendered.
surround|verb|To be all around something|palibutan|Nasa palibot ng isang bagay|Trees surround the house.
survive|verb|To continue to live after danger|makaligtas|Manatiling buhay matapos ang panganib|Only two survived.
suspect|verb|To think something is probably true|maghinala|Isiping malamang totoo|Police suspect arson.
suspend|verb|To stop something temporarily|suspindihin|Ihinto pansamantala|Play was suspended for rain.
swallow|verb|To make food go down your throat|lunukin|Ipababa ang pagkain sa lalamunan|Swallow the tablet whole.
tackle|verb|To deal with a difficult problem|harapin|Lutasin ang mahirap na problema|We must tackle waste.
tempt|verb|To make somebody want something|tuksuhin|Pukawin ang pagnanasa|The offer tempted him.
terminate|verb|To bring something to an end|wakasan|Tapusin ang isang bagay|They terminated the contract.
threaten|verb|To say you will cause harm|magbanta|Sabihing magdudulot ng masama|He threatened legal action.
tolerate|verb|To accept something you dislike|tiisin|Tanggapin ang ayaw mo|I cannot tolerate rudeness.
trace|verb|To find by following signs|tunton|Hanapin sa pagsunod sa bakas|They traced the call.
transfer|verb|To move from one place to another|ilipat|Ilipat mula sa isang lugar|Transfer the funds today.
transform|verb|To change completely|baguhin|Palitan nang lubusan|The city transformed in a decade.
treat|verb|To behave towards somebody, or to give medical care|pakitunguhan|Ituring o gamutin|Treat everyone fairly.
trust|verb|To believe somebody is honest|magtiwala|Maniwalang tapat ang iba|I trust her completely.
unite|verb|To join together for a common purpose|magkaisa|Magsama para sa iisang layunin|The crisis united the town.
urge|verb|To strongly advise somebody|hikayatin|Payuhan nang mariin|I urge you to reconsider.
vanish|verb|To disappear suddenly|maglaho|Mawala nang biglaan|The keys simply vanished.
vary|verb|To be different in different situations|magkaiba|Maging iba sa bawat sitwasyon|Prices vary by season.
violate|verb|To break a rule or law|labagin|Sumuway sa batas o patakaran|They violated the agreement.
volunteer|verb|To offer to do something without pay|magboluntaryo|Mag-alok nang walang bayad|She volunteered at the shelter.
wander|verb|To walk without a fixed purpose|maglibot|Maglakad nang walang tiyak na layon|We wandered through the market.
warn firmly|verb|To tell somebody about a danger|balaan|Sabihan tungkol sa panganib|I firmly warned them of the risk.
weaken|verb|To become less strong|humina|Maging mas mahina|The storm weakened overnight.
welcome|verb|To greet somebody in a friendly way|tanggapin|Batiin nang magiliw|We welcome new members.
widen|verb|To make something wider|palawakin|Gawing mas malapad|They widened the road.
withstand|verb|To resist damage or pressure|matiis|Labanan ang pinsala o presyon|The wall withstood the flood.
witness|verb|To see something happen|masaksihan|Makita ang pangyayari|She witnessed the accident.
worsen|verb|To become worse|lumala|Maging mas masama|Conditions worsened overnight.

# ---------------- Useful Adjectives ----------------
abrupt|adjective|Sudden and unexpected, or rude in manner|biglaan|Biglaan o magaspang ang pakikitungo|The road came to an abrupt end.
absolute|adjective|Complete and total|ganap|Buo at lubos|She has absolute confidence in him.
absurd|adjective|Completely unreasonable or silly|katawa-tawa|Walang katuturan|The price is absurd.
abusive|adjective|Using cruel words or violence|mapang-abuso|Malupit sa salita o gawa|Abusive language is not tolerated.
acceptable|adjective|Good enough to be approved|katanggap-tanggap|Sapat upang tanggapin|The work is acceptable.
accidental|adjective|Happening by chance, not on purpose|di-sinasadya|Nangyari nang hindi sinasadya|The damage was accidental.
accountable|adjective|Required to explain your actions|may pananagutan|Kailangang magpaliwanag sa gawa|Managers are accountable to the board.
accustomed|adjective|Used to something through experience|sanay|Nakasanayan na|She is accustomed to early starts.
acute|adjective|Very serious, or very sharp|matindi|Napakatindi o napakatalas|There is an acute shortage of nurses.
adverse conditions|adjective|Unfavourable and likely to cause problems|di-kanais-nais|Hindi kanais-nais at mapanganib|The race ran in adverse conditions.
aggressive|adjective|Ready to attack or argue|agresibo|Handang manalakay o makipagtalo|His tone became aggressive.
alien|adjective|Strange and unfamiliar|banyaga|Kakaiba at hindi pamilyar|The customs felt alien to her.
alleged|adjective|Said to be true but not proved|umano|Sinasabing totoo ngunit di-napatunayan|The alleged theft occurred at night.
ancient|adjective|Very old, from long ago|sinauna|Napakaluma, mula noong unang panahon|Ancient walls surround the town.
annoying|adjective|Causing slight anger|nakakainis|Nagdudulot ng bahagyang inis|That noise is really annoying.
anonymous|adjective|With a name that is not known|walang pangalan|Hindi alam ang pangalan|An anonymous donor gave the money.
arbitrary|adjective|Based on chance rather than reason|pabigla-bigla|Walang malinaw na batayan|The choice seemed arbitrary.
artificial|adjective|Made by people, not natural|artipisyal|Gawa ng tao, hindi likas|Artificial light hurts my eyes.
ashamed|adjective|Feeling guilty or embarrassed|nahihiya|May pakiramdam ng pagkakasala|He felt ashamed of his outburst.
attentive|adjective|Listening or watching carefully|matulungin|Nakikinig o nakatingin nang mabuti|The class was unusually attentive.
awkward|adjective|Causing difficulty or embarrassment|mahirap|Nagdudulot ng hirap o hiya|There was an awkward silence.
bold|adjective|Brave and confident|matapang|Malakas ang loob|It was a bold decision.
brief encounter|adjective|Lasting only a short time|maikli|Sandali lamang ang tagal|They had a brief encounter at the station.
brilliant|adjective|Extremely clever or bright|napakatalino|Napakatalino o napakaliwanag|She had a brilliant idea.
broad|adjective|Wide, or covering many things|malawak|Malapad o sumasaklaw sa marami|He has broad experience.
brutal|adjective|Very cruel and violent|malupit|Napakalupit at marahas|The attack was brutal.
casual remark|adjective|Not planned or serious|pabalang|Hindi planado o seryoso|It was only a casual remark.
challenging|adjective|Difficult in an interesting way|mapaghamon|Mahirap ngunit kawili-wili|The course is challenging but fair.
cheerful|adjective|Happy and positive|masayahin|Masaya at positibo|She gave a cheerful wave.
clumsy attempt|adjective|Done without skill|magaspang|Gawang walang kasanayan|It was a clumsy attempt at humour.
coarse|adjective|Rough in texture, or rude|magaspang|Magaspang sa hipo o bastos|The cloth felt coarse.
cold|adjective|Low in temperature, or unfriendly|malamig|Mababa ang init o hindi magiliw|Her reply was cold.
compact|adjective|Small and neatly arranged|siksik|Maliit at maayos ang pagkakaayos|The flat is compact but comfortable.
compulsory|adjective|Required by rule or law|sapilitan|Kinakailangan ayon sa batas|Attendance is compulsory.
confidential|adjective|Meant to be kept secret|kompidensyal|Dapat ilihim|These files are confidential.
consecutive|adjective|Following one after another|magkakasunod|Sunod-sunod|It rained for five consecutive days.
conspicuous|adjective|Easy to notice|kapansin-pansin|Madaling mapansin|His absence was conspicuous.
constant|adjective|Happening all the time without change|palagian|Tuloy-tuloy at hindi nagbabago|The constant noise wore us down.
corrupt|adjective|Dishonest, especially in public office|tiwali|Hindi tapat lalo na sa panunungkulan|Corrupt officials were removed.
costly|adjective|Expensive, or causing loss|magastos|Mahal o nagdudulot ng pagkalugi|The mistake proved costly.
crowded|adjective|Full of people|matao|Puno ng tao|The train was crowded.
cruel|adjective|Causing pain without pity|malupit|Nagdudulot ng sakit nang walang awa|That was a cruel remark.
curious|adjective|Eager to know, or strange|mausisa|Sabik malaman o kakaiba|Children are naturally curious.
daring|adjective|Willing to take risks|matapang|Handang magsapalaran|It was a daring rescue.
deadly|adjective|Able to cause death|nakamamatay|Kayang magdulot ng kamatayan|The snake is deadly.
decent|adjective|Good enough, or honest and fair|disente|Sapat o tapat at makatarungan|He earns a decent wage.
deep|adjective|Going far down, or intense|malalim|Malayo pababa o matindi|She fell into a deep sleep.
defensive|adjective|Protecting against attack or criticism|mapagtanggol|Nagtatanggol laban sa atake|He grew defensive when questioned.
delicate|adjective|Easily damaged, or needing care|maselan|Madaling masira o kailangan ng ingat|It is a delicate situation.
dense|adjective|Closely packed together|makapal|Magkakadikit at siksik|Dense fog covered the road.
desperate|adjective|Feeling hopeless and ready to do anything|desperado|Wala nang pag-asa at handa sa kahit ano|They were desperate for help.
destructive|adjective|Causing great damage|mapanira|Nagdudulot ng malaking pinsala|Storms can be highly destructive.
devoted|adjective|Very loyal and loving|tapat|Napakatapat at mapagmahal|She is a devoted teacher.
disappointing|adjective|Not as good as expected|nakakabigo|Hindi umabot sa inaasahan|The results were disappointing.
distinctive|adjective|Easy to recognise as different|natatangi|Madaling makilala dahil kakaiba|She has a distinctive voice.
disturbing|adjective|Making you feel worried or upset|nakababahala|Nagdudulot ng pag-aalala|The footage was disturbing.
dreadful|adjective|Extremely bad or unpleasant|nakakatakot|Napakasama o di-kanais-nais|The weather was dreadful.
eager|adjective|Very keen to do something|sabik|Sabik na gawin ang isang bagay|The pupils were eager to start.
elaborate design|adjective|Complicated and detailed|masalimuot|Masalimuot at detalyado|The gate has an elaborate design.
elderly|adjective|Old, used politely of people|matanda|May edad na, magalang na tawag|An elderly couple sat nearby.
empty|adjective|Containing nothing|walang laman|Walang nilalaman|The room was empty.
enthusiastic|adjective|Showing great interest and energy|masigasig|Puno ng interes at sigla|She is enthusiastic about the plan.
equivalent|adjective|Equal in value or meaning|katumbas|Pantay sa halaga o kahulugan|A mile is equivalent to 1.6 kilometres.
exact|adjective|Completely correct in every detail|eksakto|Ganap na tama sa bawat detalye|Give the exact figure.
exotic|adjective|From a distant country and unusual|eksotiko|Mula sa malayong bansa at kakaiba|The market sells exotic fruit.
explicit|adjective|Stated clearly and directly|tahasan|Sinabi nang malinaw at tuwiran|The rules are explicit.
extraordinary|adjective|Very unusual and remarkable|pambihira|Napakabihira at kahanga-hanga|She showed extraordinary courage.
extreme|adjective|Very great in degree|matindi|Napakatindi ang antas|Extreme heat closed the schools.
faint|adjective|Not clear or strong|mahina|Hindi malinaw o malakas|There was a faint smell of smoke.
fair|adjective|Treating everyone equally|patas|Pantay ang pakikitungo|The decision was fair.
faithful|adjective|Loyal and true|tapat|Tapat at hindi nagtataksil|A faithful friend is rare.
fatal|adjective|Causing death|nakamamatay|Nagdudulot ng kamatayan|The crash was fatal.
fierce|adjective|Violent or very intense|mabangis|Marahas o napakatindi|Competition is fierce.
firm|adjective|Solid, or not changing your mind|matatag|Matibay o hindi nagbabago ang isip|She was firm but polite.
foolish|adjective|Showing poor judgement|hangal|Kulang sa mabuting pagpapasya|It was a foolish risk.
fortunate|adjective|Lucky|mapalad|Swerte o pinagpala|We were fortunate with the weather.
fresh|adjective|Recently made or picked|sariwa|Bagong gawa o pitas|Buy fresh bread daily.
gentle|adjective|Kind and not rough|banayad|Mabait at hindi magaspang|He has a gentle manner.
gigantic|adjective|Extremely large|higante|Napakalaki|A gigantic wave hit the shore.
gloomy|adjective|Dark and depressing|malungkot|Madilim at nakalulungkot|The room felt gloomy.
grateful|adjective|Feeling thankful|nagpapasalamat|May damdaming pasasalamat|I am grateful for your help.
grim|adjective|Very serious and unpleasant|malagim|Napakaseryoso at di-kanais-nais|The outlook is grim.
guilty|adjective|Responsible for wrongdoing|may sala|May pananagutan sa maling gawa|He pleaded guilty.
harsh|adjective|Severe and unkind|malupit|Matindi at walang awa|That seems a harsh penalty.
healthy|adjective|In good physical condition|malusog|Nasa mabuting kalagayan|Stay healthy through exercise.
helpful|adjective|Giving useful assistance|matulungin|Nagbibigay ng kapaki-pakinabang na tulong|The staff were very helpful.
hidden|adjective|Not able to be seen|nakatago|Hindi nakikita|There are hidden costs.
hollow|adjective|Having an empty space inside|guwang|May walang laman sa loob|The tree is hollow.
honest|adjective|Truthful and not deceiving|tapat|Totoo at hindi nandaraya|Give me an honest answer.
huge|adjective|Extremely large|napakalaki|Napakalaki ang sukat|There was a huge crowd.
ideal|adjective|The best possible|ideyal|Pinakamainam|This is the ideal spot.
idle|adjective|Not working or being used|walang ginagawa|Hindi nagtatrabaho o ginagamit|The machines stood idle.
ignorant|adjective|Lacking knowledge|walang alam|Kulang sa kaalaman|I was ignorant of the rules.
illegal|adjective|Against the law|labag sa batas|Salungat sa batas|Parking here is illegal.
immature|adjective|Behaving in a childish way|di-mature|Kumikilos nang parang bata|His response was immature.
impatient|adjective|Not willing to wait calmly|naiinip|Ayaw maghintay nang mahinahon|Do not be impatient.
impressive|adjective|Deserving admiration|kahanga-hanga|Karapat-dapat hangaan|The results are impressive.
inadequate|adjective|Not enough or not good enough|kulang|Hindi sapat|The lighting is inadequate.
incredible|adjective|Very hard to believe|hindi kapani-paniwala|Napakahirap paniwalaan|The view was incredible.
independent|adjective|Not controlled by others|malaya|Hindi kontrolado ng iba|She is fiercely independent.
inferior|adjective|Lower in quality or rank|mababa|Mas mababa ang uri o ranggo|The copy is clearly inferior.
innocent|adjective|Not guilty of wrongdoing|inosente|Walang sala|The court found her innocent.
intelligent|adjective|Able to learn and understand well|matalino|Mabilis matuto at umunawa|She is highly intelligent.
intentional|adjective|Done on purpose|sinadya|Ginawa nang may layunin|The omission was intentional.
jealous|adjective|Unhappy because somebody has what you want|naiinggit|Malungkot dahil sa tinatamasa ng iba|He grew jealous of her success.
keen|adjective|Very interested and eager|masigasig|Sabik at interesado|She is keen to learn.
lazy|adjective|Unwilling to work|tamad|Ayaw magtrabaho|He is not lazy, just tired.
liable to fail|adjective|Likely to do something undesirable|malamang|Malamang mangyari|Old wiring is liable to fail.
lively|adjective|Full of energy and interest|masigla|Puno ng sigla at interes|It was a lively discussion.
lonely|adjective|Unhappy from being alone|malungkot|Nalulungkot dahil nag-iisa|He felt lonely in the city.
loud|adjective|Making a lot of noise|maingay|Malakas ang tunog|The music was too loud.
loyal|adjective|Always supporting somebody|matapat|Laging sumusuporta|She has loyal customers.
lucky|adjective|Having good fortune|masuwerte|May magandang kapalaran|You were lucky to escape.
magnificent|adjective|Extremely impressive and beautiful|marilag|Napakaganda at kahanga-hanga|The cathedral is magnificent.
massive|adjective|Very large and heavy|napakalaki|Napakalaki at mabigat|A massive stone blocked the path.
mediocre|adjective|Not very good, only average|katamtaman lang|Hindi mahusay, karaniwan lamang|The food was mediocre.
messy|adjective|Untidy and dirty|magulo|Magulo at marumi|His desk is always messy.
mighty|adjective|Very powerful|makapangyarihan|Napakalakas|The mighty river cut the valley.
miserable|adjective|Very unhappy|kaawa-awa|Labis na malungkot|She looked miserable.
mysterious|adjective|Difficult to understand or explain|misteryoso|Mahirap unawain o ipaliwanag|A mysterious light appeared.
naive|adjective|Too willing to believe others|musmos|Sobrang tiwala sa iba|It was naive to trust him.
narrow|adjective|Small in width|makitid|Maliit ang lapad|The lane is very narrow.
nasty|adjective|Very unpleasant or unkind|masama|Napakasama o malupit|That was a nasty comment.
necessary|adjective|Needed in order to succeed|kinakailangan|Kailangan para magtagumpay|Take the necessary steps.
negative|adjective|Bad, or expressing refusal|negatibo|Masama o nagpapahayag ng pagtanggi|The response was negative.
nervous|adjective|Worried and slightly frightened|kinakabahan|Nag-aalala at bahagyang natatakot|I felt nervous before the talk.
noble|adjective|Having high moral qualities|marangal|May mataas na pag-uugali|It was a noble gesture.
noisy|adjective|Making a lot of unwanted sound|maingay|Maraming di-kanais-nais na ingay|The street is noisy at night.
notorious|adjective|Famous for something bad|kilalang masama|Kilala dahil sa masamang bagay|The road is notorious for accidents.
obedient|adjective|Doing what you are told|masunurin|Sumusunod sa iniuutos|The dog is obedient.
odd|adjective|Strange or unusual|kakaiba|Kakaiba o hindi pangkaraniwan|That is an odd choice.
offensive|adjective|Causing anger or hurt feelings|nakakasakit|Nagdudulot ng galit o sakit|The joke was offensive.
optimistic|adjective|Expecting good things to happen|maasahin|Umaasa sa magandang mangyayari|She remains optimistic.
ordinary|adjective|Normal and not special|karaniwan|Pangkaraniwan at hindi natatangi|It was an ordinary Tuesday.
outdated|adjective|No longer modern or useful|luma na|Hindi na makabago o kapaki-pakinabang|The software is outdated.
overall|adjective|Considering everything|pangkalahatan|Isinasaalang-alang ang lahat|The overall result is good.
painful|adjective|Causing physical or emotional pain|masakit|Nagdudulot ng sakit|Recovery was slow and painful.
patient|adjective|Able to wait calmly|matiyaga|Kayang maghintay nang mahinahon|Be patient with beginners.
peaceful|adjective|Quiet and calm, without violence|mapayapa|Tahimik at walang karahasan|It was a peaceful protest.
pleasant|adjective|Enjoyable and agreeable|kaaya-aya|Kasiya-siya at kalugod-lugod|We had a pleasant evening.
polite refusal|adjective|Showing good manners|magalang|May mabuting asal|She gave a polite refusal.
poor|adjective|Having little money, or of low quality|mahirap|Kulang sa pera o mababa ang kalidad|The picture quality is poor.
positive|adjective|Good, or expressing agreement|positibo|Mabuti o nagpapahayag ng pagsang-ayon|The feedback was positive.
powerful|adjective|Having great strength or influence|makapangyarihan|May malaking lakas o impluwensya|It was a powerful speech.
precious|adjective|Very valuable or greatly loved|mahalaga|Napakahalaga o labis na minamahal|Time is precious.
private|adjective|Belonging to one person, not public|pribado|Pag-aari ng isang tao, hindi pampubliko|This is a private matter.
probable|adjective|Likely to happen or be true|malamang|Malamang mangyari o totoo|Rain is probable this afternoon.
proud|adjective|Pleased about an achievement|maipagmamalaki|Masaya sa isang tagumpay|Her parents are very proud.
public|adjective|Open to everyone|pampubliko|Bukas sa lahat|The park is public property.
pure|adjective|Not mixed with anything else|dalisay|Walang halo|The water is pure.
quiet|adjective|Making little or no noise|tahimik|Kaunti o walang ingay|Please be quiet.
random|adjective|Chosen without a pattern|walang tiyak|Pinili nang walang padron|Pick a random number.
rapid|adjective|Very fast|mabilis|Napakabilis|The change was rapid.
rare|adjective|Not happening or found often|bihira|Hindi madalas mangyari o matagpuan|Snow is rare here.
realistic|adjective|Sensible about what is possible|makatotohanan|Makatuwiran sa posibleng mangyari|Set realistic goals.
recent|adjective|Happening a short time ago|kamakailan|Nangyari kani-kanina lamang|A recent study confirms this.
relaxed|adjective|Calm and not worried|kalmado|Mahinahon at walang alala|The atmosphere was relaxed.
reluctant|adjective|Unwilling and hesitant|nag-aatubili|Ayaw at nag-aalinlangan|He was reluctant to agree.
responsible|adjective|Having a duty to deal with something|may pananagutan|May tungkuling asikasuhin|Who is responsible for this?
rewarding|adjective|Giving satisfaction|kapaki-pakinabang|Nagbibigay ng kasiyahan|Teaching is rewarding work.
rough|adjective|Not smooth, or not gentle|magaspang|Hindi makinis o hindi banayad|The sea was rough.
rude|adjective|Not polite|bastos|Walang magandang asal|That was a rude reply.
sacred|adjective|Connected with religion and greatly respected|banal|May kaugnayan sa relihiyon at iginagalang|The site is sacred to them.
safe|adjective|Not in danger|ligtas|Walang panganib|The children are safe.
satisfactory|adjective|Good enough for a purpose|kasiya-siya|Sapat para sa layunin|Progress is satisfactory.
selfish|adjective|Caring only about yourself|makasarili|Sarili lamang ang iniisip|That was a selfish decision.
serious|adjective|Important and needing attention|seryoso|Mahalaga at kailangang pansinin|This is a serious problem.
shallow|adjective|Not deep|mababaw|Hindi malalim|The stream is shallow here.
sharp|adjective|Having a fine edge, or quick to notice|matalas|May matulis na gilid o mabilis makapansin|Use a sharp knife.
shy|adjective|Nervous about meeting people|mahiyain|Kinakabahan sa harap ng iba|He is shy with strangers.
significant change|adjective|Large enough to matter|makabuluhan|Sapat na malaki upang mahalaga|There was a significant change.
silent|adjective|Making no sound at all|tahimik|Walang anumang tunog|The room fell silent.
similar|adjective|Almost the same|magkatulad|Halos magkapareho|The two cases are similar.
sincere apology|adjective|Genuine and honest|taos-puso|Tunay at tapat|She offered a sincere apology.
smooth|adjective|Having an even surface|makinis|Pantay ang ibabaw|The stone felt smooth.
solid|adjective|Firm and not liquid, or dependable|matibay|Matigas o maaasahan|We need solid evidence.
sour attitude|adjective|Unfriendly and bad tempered|masungit|Hindi magiliw at masama ang ugali|He has a sour attitude today.
spacious|adjective|Having plenty of room|maluwang|Maraming espasyo|The kitchen is spacious.
splendid|adjective|Excellent and impressive|marangya|Napakahusay at kahanga-hanga|What a splendid idea.
steep|adjective|Rising sharply|matarik|Biglang paakyat|The path is very steep.
sticky|adjective|Tending to stick to things|malagkit|May hilig dumikit|The floor is sticky.
stiff|adjective|Not easy to bend or move|matigas|Mahirap ibaluktot o igalaw|My neck feels stiff.
straightforward|adjective|Simple and easy to understand|tuwiran|Simple at madaling maunawaan|The task is straightforward.
strange|adjective|Unusual and hard to explain|kakaiba|Hindi pangkaraniwan|A strange thing happened.
strong|adjective|Having great power or not easily broken|malakas|May malaking lakas|She has a strong grip.
stubborn|adjective|Refusing to change your mind|matigas ang ulo|Ayaw magbago ng isip|He is too stubborn to ask.
stupid|adjective|Showing a lack of intelligence|hangal|Kulang sa katalinuhan|It was a stupid mistake.
suitable|adjective|Right for a purpose or occasion|angkop|Bagay sa layunin o okasyon|Is this suitable for children?
superior|adjective|Better in quality or higher in rank|nakahihigit|Mas mataas ang uri o ranggo|The material is superior.
suspicious|adjective|Feeling that something is wrong|kahina-hinala|May hinalang may mali|The guard grew suspicious.
tedious|adjective|Boring and lasting too long|nakakabagot|Nakakainip at masyadong mahaba|The meeting was tedious.
terrible|adjective|Extremely bad|kakila-kilabot|Napakasama|The traffic was terrible.
thick|adjective|Wide from one side to the other|makapal|Malapad mula sa isang gilid|Cut a thick slice.
thin|adjective|Narrow, or having little fat|manipis|Makitid o walang taba|The ice is too thin.
thoughtful|adjective|Considerate, or deep in thought|maalalahanin|Maalalahanin o malalim mag-isip|That was a thoughtful gift.
tolerant|adjective|Willing to accept different views|mapagparaya|Handang tanggapin ang ibang pananaw|We aim to be a tolerant society.
tough|adjective|Strong, or difficult to deal with|matigas|Malakas o mahirap harapin|It was a tough decision.
tragic|adjective|Extremely sad, often involving death|trahiko|Labis na malungkot|The accident was tragic.
typical|adjective|Showing the usual qualities|karaniwan|Ipinapakita ang pangkaraniwang katangian|That is typical of him.
ugly|adjective|Unpleasant to look at|pangit|Hindi kaaya-ayang tingnan|The building is rather ugly.
uncomfortable|adjective|Not physically or mentally at ease|hindi komportable|Hindi maginhawa|The chair is uncomfortable.
unfair|adjective|Not treating people equally|di-makatarungan|Hindi pantay ang pakikitungo|The rule seems unfair.
unfamiliar|adjective|Not known or recognised|hindi pamilyar|Hindi kilala o alam|The route was unfamiliar.
unfortunate|adjective|Unlucky|malas|Walang swerte|It was an unfortunate error.
unnecessary|adjective|Not needed|hindi kailangan|Walang saysay o kailangan|That step is unnecessary.
unpleasant|adjective|Not enjoyable|di-kaaya-aya|Hindi kasiya-siya|There was an unpleasant smell.
unstable|adjective|Likely to change or fall|hindi matatag|Madaling magbago o bumagsak|The ladder is unstable.
upset|adjective|Unhappy or worried|nababahala|Malungkot o nag-aalala|She was upset by the news.
useful|adjective|Helping you do something|kapaki-pakinabang|Nakakatulong sa gawain|That is a useful tip.
useless|adjective|Not helping at all|walang silbi|Walang naitutulong|The old key is useless.
usual|adjective|Happening most of the time|karaniwan|Madalas mangyari|Take the usual route.
vacant|adjective|Empty and available|bakante|Walang laman at pwedeng gamitin|The post is vacant.
vain|adjective|Too proud of your appearance, or useless|mayabang|Sobrang mapagmalaki o walang saysay|It was a vain attempt.
vast|adjective|Extremely large in area or amount|malawak|Napakalawak o napakarami|A vast desert lay ahead.
violent|adjective|Using physical force to hurt|marahas|Gumagamit ng dahas|The protest turned violent.
warm|adjective|Fairly hot, or friendly|mainit|Bahagyang mainit o magiliw|She gave us a warm welcome.
wealthy|adjective|Having a lot of money|mayaman|Maraming pera|The family is wealthy.
weird|adjective|Very strange|kakatwa|Napakakakaiba|That was a weird dream.
wise|adjective|Having good judgement from experience|matalino|May mabuting pagpapasya|That was a wise choice.
worthwhile|adjective|Worth the time or effort spent|sulit|Sulit sa oras o pagod|The trip was worthwhile.
worthy|adjective|Deserving respect or support|karapat-dapat|Nararapat sa paggalang|It is a worthy cause.
young|adjective|Having lived only a short time|bata|Kaunti pa lamang ang edad|The team is very young.

# ---------------- Useful Adverbs ----------------
abruptly|adverb|Suddenly and unexpectedly|biglaan|Nang biglaan|The music stopped abruptly.
absolutely|adverb|Completely and totally|lubusan|Nang buo at lubos|You are absolutely right.
actually|adverb|In fact, or really|talaga|Sa totoo lang|It is actually quite simple.
badly|adverb|In a poor manner, or very much|masama|Sa mahinang paraan o labis|The team played badly.
barely|adverb|Only just, almost not|halos hindi|Halos hindi|We barely caught the train.
briefly|adverb|For a short time|sandali|Sa maikling panahon|He spoke briefly.
carefully|adverb|With attention and caution|maingat|Nang may pag-iingat|Read the label carefully.
certainly|adverb|Without any doubt|tiyak|Walang alinlangan|That is certainly true.
clearly|adverb|In a way that is easy to understand|malinaw|Sa paraang madaling maunawaan|Please speak clearly.
closely|adverb|In a careful and detailed way|mabuti|Sa maingat at masusing paraan|Watch closely.
completely|adverb|Totally and entirely|lubusan|Nang lubos at buo|I completely agree.
constantly|adverb|All the time|palagi|Sa lahat ng oras|He is constantly late.
deliberately|adverb|On purpose|sinadya|Nang may layunin|She deliberately ignored him.
directly|adverb|In a straight line, or without delay|tuwiran|Sa tuwid na daan o agad|Go directly home.
easily|adverb|Without difficulty|madali|Nang walang hirap|She easily won the race.
effectively|adverb|In a way that produces results|epektibo|Sa paraang may resulta|The drug works effectively.
entirely|adverb|Completely|buung-buo|Nang lubusan|That is entirely my fault.
equally|adverb|To the same degree|pantay|Sa parehong antas|Both are equally important.
especially|adverb|More than usually|lalo na|Higit sa karaniwan|I like fruit, especially mangoes.
exactly|adverb|Precisely and with no error|eksakto|Nang tumpak at walang mali|That is exactly what I meant.
extremely|adverb|To a very great degree|napaka|Sa napakataas na antas|It was extremely cold.
fairly|adverb|To a moderate degree, or justly|medyo|Sa katamtamang antas|The film was fairly good.
finally|adverb|After a long time, or lastly|sa wakas|Matapos ang mahabang panahon|We finally arrived at nine.
firmly|adverb|In a strong and definite way|matatag|Nang matatag at tiyak|She firmly refused.
frankly|adverb|In an honest and direct way|prangka|Nang tapat at tuwiran|Frankly, I disagree.
generally|adverb|In most cases|karaniwan|Sa karamihan ng pagkakataon|Generally, the service is good.
gently|adverb|In a soft and careful way|banayad|Sa malumanay na paraan|Stir the mixture gently.
hardly|adverb|Almost not at all|halos hindi|Halos wala|I hardly know her.
heavily|adverb|To a great degree|malakas|Sa malaking antas|It rained heavily.
honestly|adverb|In a truthful way|tapat|Sa totoong paraan|Honestly, I forgot.
immediately|adverb|At once, without delay|agad|Kaagad, walang antala|Call me immediately.
instantly|adverb|At once|kaagad|Sa isang iglap|She recognised him instantly.
largely|adverb|Mostly|halos lahat|Sa kalakhang bahagi|The plan was largely successful.
literally|adverb|In the exact sense of the words|literal|Sa tunay na kahulugan ng salita|He literally ran all the way.
merely|adverb|Only and nothing more|lamang|Wala nang iba|It was merely a suggestion.
