# Format: word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example
# Sections below become browsable categories in the app (see tools/build_db.py).

# ---------------- Parts of Speech ----------------
compelling|adjective|Powerfully convincing|matibay ang dating|Malakas makumbinsi|She made a compelling argument.
inspiring|adjective|Motivating|nakapagbibigay-inspirasyon|Nakapagpapasigla|His speech was truly inspiring.
entertaining|adjective|Amusing|nakaaaliw|Nakalilibang|The show was highly entertaining.
informative|adjective|Giving useful information|nakapagtuturo|Nagbibigay ng kapaki-pakinabang na impormasyon|The seminar was informative.
educational|adjective|Teaching something|nakapagtuturo|Nagtuturo ng isang bagay|The museum visit was educational.
meaningful|adjective|Having real importance|makabuluhan|May tunay na kabuluhan|We had a meaningful conversation.
significant|adjective|Important|mahalaga|Mahalaga|The change was significant.
notable|adjective|Worth noticing|kapansin-pansin|Dapat pansinin|The speaker made a notable point.
memorable|adjective|Easy to remember|hindi malilimutan|Madaling maalala|It was a memorable speech.
forgettable|adjective|Easy to forget|madaling makalimutan|Madaling malimutan|The movie was forgettable.
original|adjective|New and creative|orihinal|Bago at malikhain|She shared an original idea.
creative|adjective|Imaginative|malikhain|Mapaglikha|The team came up with a creative solution.
imaginative|adjective|Full of new ideas|mapanlikha|Puno ng bagong ideya|The story was imaginative.
innovative|adjective|Introducing new ideas|makabago|Naglalahad ng bagong ideya|They launched an innovative app.
effective|adjective|Producing the wanted result|mabisa|Nakakamit ang nais na resulta|This is an effective way to learn.
efficient|adjective|Working well without waste|mahusay|Gumagana nang maayos|The new system is more efficient.
influential|adjective|Having power to affect others|maimpluwensiya|May kapangyarihang makaapekto|She is an influential writer.

# ---------------- Rhetoric & Argumentation ----------------
rhetoric|noun|The art of effective speaking|retorika|Sining ng mabisang pagsasalita|The politician used powerful rhetoric.
argumentation|noun|The process of reasoning|pangangatwiran|Proseso ng pangangatuwiran|Good argumentation needs evidence.
evidence|noun|Facts supporting a claim|ebidensya|Mga katotohanang sumusuporta sa pahayag|The evidence supports the theory.
proof|noun|Evidence showing something is true|patunay|Ebidensyang nagpapakitang totoo ang isang bagay|Do you have proof of that claim?
reason|noun|A cause or explanation|dahilan|Sanhi o paliwanag|Give me one good reason to agree.
logic|noun|Sound reasoning|lohika|Wastong pangangatuwiran|Her logic is hard to argue with.
premise|noun|A statement an argument is based on|saligan|Pahayag na batayan ng argumento|The argument rests on a false premise.
assumption|noun|Something accepted as true|pagpapalagay|Bagay na tinatanggap bilang totoo|The plan is based on an assumption.
counterargument|noun|An argument against another|kontra-argumento|Argumentong sumasalungat sa iba|Consider the counterargument before deciding.
rebuttal|noun|A reply against an argument|pagsalungat|Sagot laban sa isang argumento|She offered a strong rebuttal.
refutation|noun|Proof that something is false|pagpapabulaanan|Patunay na mali ang isang bagay|The study is a refutation of the old idea.
fallacy|noun|A mistake in reasoning|maling pangangatuwiran|Pagkakamali sa pangangatuwiran|His claim contains a logical fallacy.
generalization|noun|A broad statement|lahat-lahatang pahayag|Malawak na pahayag|That is a hasty generalization.
exaggeration|noun|Making something seem bigger|pagmamalabis|Pagpapalaki sa isang bagay|Saying it took forever is an exaggeration.
understatement|noun|Making something seem smaller|pagbabawas|Pagpapaliit sa isang bagay|Saying it was okay was an understatement.
contradiction|noun|Saying opposite things|pagsasalungatan|Pagsasabi ng magkasalungat na bagay|There is a contradiction in his story.
consistency|noun|Agreement of parts|pagkakapare-pareho|Pagkakatugma ng mga bahagi|Consistency makes your argument strong.
valid|adjective|Well-founded|may bisa|May matibay na batayan|You raised a valid point.
invalid|adjective|Not acceptable or correct|walang bisa|Hindi wasto o tama|The argument is invalid.
sound|adjective|Based on good reasoning|matatag|Batay sa mabuting pangangatuwiran|That is a sound argument.
flawed|adjective|Having a mistake|may depekto|May pagkakamali|The plan is flawed.
unfounded|adjective|Without a good basis|walang batayan|Walang matibay na batayan|The rumor is unfounded.
justify|verb|To show to be right|pangatuwiranan|Ipakitang tama ang isang bagay|How do you justify this decision?
defend|verb|To support against attack|ipagtanggol|Suportahan laban sa pag-atake|She defended her opinion well.
support|verb|To provide evidence for|suportahan|Magbigay ng ebidensya para sa|Support your answer with facts.
oppose|verb|To be against|salungatin|Sumalungat sa isang bagay|They oppose the new rule.
criticize|verb|To point out faults|pumuna|Ituro ang mga mali|Critics criticized the film's ending.
evaluate|verb|To judge the value of|suriin|Hatulan ang halaga ng isang bagay|Evaluate the sources carefully.
analyze|verb|To study in detail|suriin|Pag-aralan nang detalyado|Analyze the poem line by line.
assess|verb|To estimate the quality of|tayahin|Tantiyahin ang kalidad ng isang bagay|Assess the risks before acting.
judge|verb|To form an opinion about|hatulan|Bumuo ng opinyon tungkol sa|Do not judge a book by its cover.
weigh|verb|To consider carefully|timbangin|Isaalang-alang nang mabuti|Weigh the pros and cons.

# ---------------- Vocabulary & Diction ----------------
diction|noun|Choice of words|paggamit ng salita|Pagpili ng mga salita|The author's diction is formal.
wording|noun|The way words are chosen|pagkakasulat|Paraan ng pagpili ng salita|Change the wording of that sentence.
phraseology|noun|A way of expressing|paraang ng pagpapahayag|Paraan ng pagpapahayag|Legal phraseology can be hard to read.
terminology|noun|Special words of a subject|terminolohiya|Mga espesyal na salita ng isang paksa|Learn the terminology of the field.
lexicon|noun|The vocabulary of a language|talasalitaan|Ang talasalitaan ng isang wika|New words enter the lexicon every year.
etymology|noun|The origin of a word|pinagmulan ng salita|Pinagmulan ng isang salita|The etymology of the word is Greek.
morphology|noun|The study of word forms|morpolohiya|Pag-aaral ng anyo ng salita|Morphology studies how words are formed.
phonetics|noun|The study of speech sounds|ponetika|Pag-aaral ng tunog ng pananalita|Phonetics describes how sounds are made.
phonology|noun|The study of sound systems|ponolohiya|Pag-aaral ng sistema ng tunog|Phonology examines sound patterns.
semantics|noun|The study of meaning|semantika|Pag-aaral ng kahulugan|Semantics deals with word meaning.
pragmatics|noun|The study of language in context|pragmatika|Pag-aaral ng wika sa konteksto|Pragmatics looks at language in use.
linguistics|noun|The scientific study of language|linggwistika|Agham na pag-aaral ng wika|She studies linguistics at university.
linguist|noun|A person who studies language|linggwista|Taong nag-aaral ng wika|The linguist speaks many languages.
bilingual|adjective|Speaking two languages|dalawang wika|Nagsasalita ng dalawang wika|She is bilingual in English and Tagalog.
multilingual|adjective|Speaking many languages|maraming wika|Nagsasalita ng maraming wika|The city is multilingual.
native speaker|noun|A person speaking a language from birth|katutubong tagapagsalita|Taong nagsasalita ng wika mula pa sa pagsilang|He is a native speaker of English.
dialect|noun|A regional form of a language|dayalekto|Rehiyonal na anyo ng isang wika|They speak a local dialect.
vernacular|noun|The everyday language of a place|katutubong wika|Pang-araw-araw na wika ng isang lugar|The story is written in the vernacular.
lingua franca|noun|A common language between speakers|karaniwang wika|Karaniwang wika ng iba't ibang tagapagsalita|English is a global lingua franca.
mother tongue|noun|A person's first language|katutubong wika|Unang wika ng isang tao|Tagalog is my mother tongue.
translation|noun|The result of translating|pagsasalin|Resulta ng pagsasalin|This is a faithful translation.
translator|noun|A person who translates|tagasalin|Taong nagsasalin|The translator worked all night.
interpreter|noun|A person who interprets|tagapag-interpret|Taong nagsasalin ng sinasalita|An interpreter helped them communicate.

# ---------------- British Idioms ----------------
bob's your uncle|idiom|And there you have it, it is that simple|ayan, tapos na|Ganoon lang kadali|Press the switch, turn the dial, and Bob's your uncle.
throw a spanner in the works|idiom|To spoil a plan that was going well|magsira ng plano|Biglang guluhin ang isang maayos na balak|The strike threw a spanner in the works of our delivery.
not my cup of tea|idiom|Not something you enjoy|hindi ko trip|Hindi bagay o kaaya-aya sa iyo|Opera is fine, but it is not my cup of tea.
go pear-shaped|idiom|To go badly wrong|bumigay ang plano|Biglang nasira o nabigo ang isang bagay|The picnic went pear-shaped when the rain started.
the bee's knees|idiom|Something excellent or the best of its kind|ang pinakamagaling|Ang itinuturing na pinakamahusay|She thinks her new bike is the bee's knees.
a storm in a teacup|idiom|A big fuss over something unimportant|gulo sa walang kwenta|Malaking iyakan sa maliit na bagay|Their argument over the seating was a storm in a teacup.
take the mickey|idiom|To tease or make fun of someone|manukso|Pagbibiro o pang-aasar sa iba|Stop taking the mickey out of my accent.
take the biscuit|idiom|To be the most annoying or surprising example|sukdulan na|Sobra na at hindi na matatalo sa kabastusan|Losing my keys was bad, but losing the car takes the biscuit.
donkey's years|idiom|A very long time|napakatagal|Napakahabang panahon|I have not seen him in donkey's years.
full of beans|idiom|Lively and full of energy|puno ng sigla|Masigla at masayahin|The children were full of beans after the nap.
give someone a bell|idiom|To telephone someone|tawagan|Tawagan sa telepono|Give me a bell when you get home.
have a butcher's|idiom|To take a look at something|silipin|Tingnan o silipin sandali|Come and have a butcher's at this photo.
know your onions|idiom|To know a subject very well|dalubhasa|Bihasa o eksperto sa isang paksa|Ask the mechanic, she really knows her onions.
lose the plot|idiom|To stop behaving sensibly|mawala sa sarili|Hindi na makapag-isip nang tama|He lost the plot when the printer jammed again.
mad as a hatter|idiom|Completely eccentric or crazy|baliw na baliw|Kakaiba o baliw ang ugali|Our neighbour is mad as a hatter but very kind.
make a pig's ear of it|idiom|To do something very badly|magulo ang gawa|Sirain o guluhin ang isang gawain|I made a pig's ear of the icing on the cake.
mind your Ps and Qs|idiom|To be careful about your manners|mag-ingat sa asal|Maging maingat sa pag-uugali at pananalita|Mind your Ps and Qs at your aunt's house.
nosy parker|idiom|A person who is too curious about others|usisero|Taong mapanghimasok sa buhay ng iba|Our landlord is a bit of a nosy parker.
over the moon|idiom|Extremely happy|tuwang-tuwa|Sobrang saya at galak|She was over the moon about the exam results.
put a sock in it|idiom|To stop talking or making noise|tumahimik|Tumigil sa pagsasalita o pag-iingay|Put a sock in it, I am trying to study.
round the houses|idiom|In a long and indirect way|paikot-ikot|Paligoy-ligoy bago dumating sa punto|He went round the houses before asking for money.
selling like hot cakes|idiom|Selling very quickly and in large numbers|mabilis maubos|Napakabilis maubos sa benta|The tickets are selling like hot cakes.
spend a penny|idiom|To go to the toilet|pumunta sa banyo|Mag-CR o umihi|Wait a moment, I need to spend a penny.
talk the hind legs off a donkey|idiom|To talk far too much|daldalero|Napakadaldal at walang tigil sa pagsasalita|My uncle could talk the hind legs off a donkey.
that's the ticket|idiom|That is exactly what is needed|ayan, tama|Iyan ang tamang bagay o paraan|A hot drink and a rest, that's the ticket.
throw a wobbly|idiom|To lose your temper suddenly|magwala|Biglang magalit o magngitngit|He threw a wobbly when the train was cancelled.
tickety-boo|idiom|Going well and in good order|maayos ang lahat|Maayos at walang problema|Everything is tickety-boo at the shop today.
wind someone up|idiom|To tease or annoy someone deliberately|inisin|Sadyang inisin o asarin ang iba|Ignore him, he is only winding you up.
all mouth and no trousers|idiom|Talking big but never acting|puro salita|Puro satsat pero walang gawa|Our team captain is all mouth and no trousers.
as happy as Larry|idiom|Very happy indeed|masayang-masaya|Lubos ang kasiyahan|Give him a football and he is as happy as Larry.
bits and bobs|idiom|Small assorted items|kung ano-ano|Iba't ibang maliliit na bagay|My drawer is full of bits and bobs.
by hook or by crook|idiom|By any means necessary|sa anumang paraan|Sa kahit anong paraan makuha lang|I will finish this essay by hook or by crook.
chinwag|idiom|A friendly chat|kwentuhan|Masayang pag-uusap ng magkakaibigan|We had a long chinwag over tea.
cost a bomb|idiom|To be very expensive|napakamahal|Sobrang mahal ang halaga|That handbag must have cost a bomb.
do a runner|idiom|To leave quickly to avoid trouble or payment|tumakas|Biglang umalis para makaiwas|The customer did a runner without paying.
a dog's dinner|idiom|A complete mess|magulong gawa|Napakagulong resulta o hitsura|They made a dog's dinner of the new website.
easy peasy|idiom|Very easy|napakadali|Sobrang dali gawin|The quiz was easy peasy.
flogging a dead horse|idiom|Wasting effort on something hopeless|walang saysay|Pag-aaksaya ng oras sa walang pag-asa|Asking him again is flogging a dead horse.
get the hump|idiom|To become annoyed or sulky|magtampo|Magalit o magtampo nang tahimik|She got the hump when we forgot her birthday.
have a gander|idiom|To have a quick look|sumilip|Magbigay ng mabilis na tingin|Have a gander at the menu before we order.
horses for courses|idiom|Different people suit different tasks|iba-iba ang husay|Bawat tao ay may bagay na kinagagalingan|He is better at sales, horses for courses.
in a pickle|idiom|In a difficult situation|nasa alanganin|Nasa mahirap na kalagayan|I am in a pickle because I lost my wallet.
it's not cricket|idiom|It is not fair or honourable|hindi patas|Hindi makatarungan o hindi tama|Reading her diary is just not cricket.
keep your pecker up|idiom|To stay cheerful in a hard time|magpakatatag|Manatiling masaya kahit mahirap|Keep your pecker up, the results are not final.
kick into the long grass|idiom|To delay a problem so it is forgotten|ipagpaliban|Ipagpaliban upang makalimutan|The council kicked the report into the long grass.
leg it|idiom|To run away quickly|takbo|Tumakbo nang mabilis|We legged it when the rain started.
lovely jubbly|idiom|An expression of delight|ang sarap naman|Pagpapahayag ng tuwa|Two free tickets, lovely jubbly.
on the blink|idiom|Not working properly|sira-sira|Hindi maayos ang gana o paggana|The kettle is on the blink again.
the penny dropped|idiom|The moment you finally understand|na-gets din|Sandaling biglang naintindihan|The penny dropped when I saw the diagram.
put the kettle on|idiom|To make tea, often to calm a situation|magtimpla ng tsaa|Maghanda ng tsaa upang kumalma|Bad news, sit down and I will put the kettle on.
right as rain|idiom|Perfectly well again|magaling na|Maayos na ang pakiramdam|A day of rest and you will be right as rain.
at sixes and sevens|idiom|Confused and disorganised|litong-lito|Magulo at walang ayos|The office is at sixes and sevens before the audit.
sod's law|idiom|The rule that anything that can go wrong will|malas talaga|Paniniwalang lahat ng puwedeng masira ay masisira|Sod's law, it rained on the one day we had no umbrella.
spitting feathers|idiom|Extremely thirsty or extremely angry|nauuhaw na nauuhaw|Sobrang uhaw o sobrang galit|After that walk I was spitting feathers.
take a punt|idiom|To take a chance on something|sumugal|Sumubok kahit hindi sigurado|I took a punt on the cheaper flight.
tickled pink|idiom|Very pleased and amused|tuwang-tuwa|Lubos na natuwa|Grandma was tickled pink by the card.
toe the line|idiom|To follow the rules obediently|sumunod sa patakaran|Sumunod nang mahigpit sa alituntunin|New staff are expected to toe the line.
under the cosh|idiom|Under heavy pressure|nasa ilalim ng pressure|Nasa matinding pagkakapit ng presyon|The team was under the cosh all afternoon.
up sticks|idiom|To move house or leave suddenly|maglipat ng tirahan|Biglang lumipat ng tirahan|They upped sticks and moved to Wales.
a wet blanket|idiom|A person who spoils the fun|sirang plaka sa saya|Taong sumisira ng saya ng iba|Do not be a wet blanket, come and dance.
argue the toss|idiom|To dispute a decision needlessly|makipagtalo|Makipagtalo sa napagpasyahan na|There is no point arguing the toss with the referee.
chock-a-block|idiom|Completely full|punung-puno|Punong-puno at walang puwang|The high street was chock-a-block on Saturday.
bang out of order|idiom|Completely unacceptable behaviour|sobrang mali|Labis na hindi katanggap-tanggap|Shouting at the waiter was bang out of order.
budge up|idiom|To move along to make room|umusog|Umusog upang may espasyo|Budge up so Nan can sit down.
cack-handed|idiom|Clumsy or badly done|tanga sa gawa|Tigas ang kamay at magulo ang gawa|He made a cack-handed job of the shelf.
hard cheese|idiom|Bad luck, said with little sympathy|malas mo|Malas mo lang, walang awa sa pagsabi|You missed the bus, hard cheese.
having a laugh|idiom|Not being serious, joking|nagbibiro|Nagbibiro lamang at hindi seryoso|Fifty pounds for a coffee, you are having a laugh.
stone the crows|idiom|An exclamation of great surprise|naku po|Pagpapahayag ng matinding gulat|Stone the crows, you finished the whole cake.
sound as a pound|idiom|Completely reliable or in good condition|maaasahan|Matibay at maaasahan|The old van is still sound as a pound.
mad for it|idiom|Very enthusiastic about something|hilig na hilig|Sobrang gusto o excited|The crowd was mad for it before the band came on.
rain stopped play|idiom|An activity halted by circumstances|natigil sa ulan|Natigil ang gawain dahil sa ulan|We planned a barbecue but rain stopped play.
see a man about a dog|idiom|A vague excuse for leaving|may lakad lang|Palusot sa pag-alis nang hindi nagpapaliwanag|He slipped out to see a man about a dog.
curtain twitcher|idiom|A neighbour who spies on others|tsismosang kapitbahay|Kapitbahay na palaging nakasilip|The curtain twitchers noticed the new car at once.
a right two and eight|idiom|A complete mess|sobrang gulo|Talagang magulo ang kalagayan|The kitchen was a right two and eight after baking.
work like a Trojan|idiom|To work extremely hard|magtrabahong mabuti|Magtrabaho nang napakasipag|She worked like a Trojan to finish the report.
keen as mustard|idiom|Very eager and enthusiastic|sabik na sabik|Sobrang sigasig at handa|The new intern is keen as mustard.
on your bike|idiom|A blunt way of telling someone to go away|alis diyan|Pagpapaalis nang diretsahan|If you came to borrow money, on your bike.
quids in|idiom|In a profitable position|kumita|Nasa panig ng kita o tubo|If the deal closes we are quids in.
codswallop|idiom|Complete nonsense|kalokohan|Puro kabulastugan o kasinungalingan|That article is a load of codswallop.
faff about|idiom|To waste time on unimportant things|magpalipas ng oras|Mag-aksaya ng oras sa walang kwenta|Stop faffing about and pack your bag.
pop your clogs|idiom|To die, said humorously|pumanaw|Mamatay, sa biro lamang|He joked that he would not pop his clogs before the final.
cheap as chips|idiom|Very inexpensive|napakamura|Sobrang mura ang halaga|The market stall is cheap as chips.

# ---------------- British Slang ----------------
chuffed|adjective|Very pleased and proud|tuwang-tuwa|Labis na natutuwa at ipinagmamalaki|I was chuffed to bits with my score.
gutted|adjective|Very disappointed|dismayado|Sobrang nadismaya at nalungkot|He was gutted when the team lost.
knackered|adjective|Completely exhausted|pagod na pagod|Wala nang natitirang lakas|I am knackered after that shift.
skive|verb|To avoid work or school by staying away|mag-absent nang palusot|Umiwas sa trabaho o klase|He skived off the last lesson.
dodgy|adjective|Unreliable, risky, or suspicious|kahina-hinala|Hindi mapagkakatiwalaan o kaduda-duda|That website looks a bit dodgy.
gobsmacked|adjective|Utterly astonished|napanganga|Labis na nagulat|I was gobsmacked by the surprise party.
peckish|adjective|Slightly hungry|medyo gutom|Bahagyang nagugutom|I am feeling peckish, shall we get a sandwich.
posh|adjective|Elegant or upper class|sosyal|Mataas ang uri o mamahalin|They went to a posh restaurant.
skint|adjective|Having no money|walang pera|Wala nang natitirang pera|I cannot come out tonight, I am skint.
shattered|adjective|Extremely tired|durog sa pagod|Sobrang pagod na parang durog|We were shattered after the hike.
sorted|adjective|Arranged and dealt with|ayos na|Naayos na at tapos na|Tickets are booked, we are sorted.
minted|adjective|Very rich|mayaman|Sobrang yaman|Her family is absolutely minted.
naff|adjective|Tasteless or of poor quality|baduy|Walang kwenta o walang lasa ang porma|The souvenir mugs looked a bit naff.
wonky|adjective|Crooked or not working properly|baluktot|Hindi tuwid o hindi maayos|This table has a wonky leg.
brolly|noun|An umbrella|payong|Panangga sa ulan|Take a brolly, it looks like rain.
telly|noun|A television|telebisyon|Kagamitan sa panonood ng palabas|We watched the match on the telly.
loo|noun|A toilet|banyo|Silid na may inodoro|The loo is upstairs on the left.
kip|noun|A short sleep or nap|idlip|Maikling tulog|I had a quick kip on the train.
grub|noun|Food, in informal speech|pagkain|Pagkain sa payak na salita|The pub does decent grub.
gaff|noun|A person's home|bahay|Tirahan o bahay|Come round to my gaff after work.
queue|noun|A line of people waiting|pila|Hanay ng naghihintay na tao|There was a long queue for the bus.
fortnight|noun|A period of two weeks|dalawang linggo|Panahong labing-apat na araw|We are away for a fortnight in June.
cuppa|noun|A cup of tea|isang tasang tsaa|Isang tasa ng tsaa|Fancy a cuppa before we start.
cheers|interjection|Thanks, or a toast before drinking|salamat|Pasasalamat o pagtatagay|Cheers for holding the door.
cheerio|interjection|Goodbye|paalam|Pamamaalam nang magaan|Cheerio, see you on Monday.
blimey|interjection|An exclamation of surprise|naku|Pagpapahayag ng gulat|Blimey, that was close.
whinge|verb|To complain persistently|magreklamo|Paulit-ulit na pagrereklamo|Stop whingeing about the weather.
nick|verb|To steal something|magnakaw|Kumuha nang walang paalam|Someone nicked my umbrella.
bloke|noun|A man|lalaki|Isang lalaki sa payak na salita|A friendly bloke gave us directions.
mate|noun|A friend|kaibigan|Malapit na kaibigan|Thanks, mate, I owe you one.
lad|noun|A boy or young man|binata|Batang lalaki o kabataang lalaki|The lads are playing football in the park.
lass|noun|A girl or young woman|dalaga|Batang babae o dalaga|The lass at the counter was very helpful.
nan|noun|A grandmother|lola|Ina ng magulang|My nan makes the best roast.
rubbish|noun|Waste material, or something of poor quality|basura|Itinapong bagay o mababang kalidad|Put the rubbish in the bin.
pavement|noun|The paved path beside a road|bangketa|Daanan ng tao sa gilid ng kalsada|Walk on the pavement, not the road.
lift|noun|A machine that carries people between floors|elevator|Makinang naghahatid sa iba't ibang palapag|Take the lift to the third floor.
boot|noun|The luggage compartment of a car|kompartimento ng kotse|Lalagyan ng bagahe sa likod ng sasakyan|Put the shopping in the boot.
biscuit|noun|A sweet baked snack, a cookie|biskwit|Matamis na tinapay na tuyo|Have a biscuit with your tea.
crisps|noun|Thin fried potato slices in a packet|chips|Manipis na pritong patatas sa supot|He bought a packet of crisps.
jumper|noun|A knitted upper garment, a sweater|panlamig na damit|Damit na pantaas na yari sa niniting na tela|Wear a jumper, it is chilly.
trainers|noun|Sports shoes|rubber shoes|Sapatos na pang-ehersisyo|My trainers are soaked through.
petrol|noun|Fuel for a car, gasoline|gasolina|Panggatong ng sasakyan|We need petrol before the motorway.
motorway|noun|A wide fast road between cities|highway|Malapad na daan para sa mabilis na biyahe|The motorway was busy this morning.
holiday|noun|A period of travel or rest away from work|bakasyon|Panahon ng pahinga o paglalakbay|We are on holiday next week.
autumn|noun|The season between summer and winter|taglagas|Panahon bago mag-taglamig|The leaves turn gold in autumn.

# ---------------- Phrasal Verbs ----------------
give up|phrasal verb|To stop trying|sumuko|Tumigil na sa pagsisikap|Do not give up on the first attempt.
look after|phrasal verb|To take care of someone or something|mag-alaga|Pangalagaan ang isang tao o bagay|Could you look after my cat this weekend.
look for|phrasal verb|To search for something|maghanap|Hanapin ang isang bagay|I am looking for my glasses.
look forward to|phrasal verb|To feel excited about something coming|inaabangan|Sabik na hinihintay ang mangyayari|We look forward to meeting you.
find out|phrasal verb|To discover a fact|matuklasan|Malaman ang isang bagay|I found out the shop closes early.
turn on|phrasal verb|To start a machine or light|buksan|Paandarin o pailawin|Turn on the fan, please.
turn off|phrasal verb|To stop a machine or light|isara|Patayin ang ilaw o makina|Turn off the tap while you brush.
put on|phrasal verb|To dress yourself in something|magsuot|Isuot ang damit o gamit|Put on your jacket before we leave.
take off|phrasal verb|To remove clothing, or to leave the ground|hubarin o lumipad|Alisin ang damit o umalis ng lupa|The plane took off on time.
get up|phrasal verb|To rise from bed|bumangon|Tumayo mula sa pagkakahiga|I get up at six every day.
wake up|phrasal verb|To stop sleeping|gumising|Magising mula sa tulog|She woke up before the alarm.
sit down|phrasal verb|To take a seat|maupo|Umupo sa upuan|Please sit down and relax.
stand up|phrasal verb|To rise to your feet|tumayo|Tumindig mula sa pagkakaupo|Everyone stood up when she entered.
come back|phrasal verb|To return|bumalik|Magbalik sa dating lugar|Come back before dinner.
go on|phrasal verb|To continue|magpatuloy|Ituloy ang ginagawa|Go on, I am listening.
carry on|phrasal verb|To keep doing something|magpatuloy|Ipagpatuloy ang isang gawain|Carry on reading from page ten.
run out of|phrasal verb|To use up all of something|maubusan|Wala nang natitirang suplay|We ran out of milk.
throw away|phrasal verb|To discard something|itapon|Ilabas o alisin ang basura|Do not throw away the receipt.
fill in|phrasal verb|To write information in a form|punan|Sulatan ang mga patlang|Fill in your name and address.
hand in|phrasal verb|To submit work to someone|ipasa|Iabot o ibigay ang gawa|Hand in your essay by Friday.
work out|phrasal verb|To solve, or to exercise|malutas o mag-ehersisyo|Malutas ang problema o mag-ehersisyo|I could not work out the answer.
figure out|phrasal verb|To understand after thinking|maisip|Malaman sa pag-iisip|I finally figured out the route.
point out|phrasal verb|To draw attention to something|ituro|Ipakita o banggitin ang isang bagay|She pointed out my spelling mistake.
bring up|phrasal verb|To mention a topic, or to raise a child|banggitin o palakihin|Ilahad ang paksa o mag-alaga ng bata|He brought up the budget again.
grow up|phrasal verb|To become an adult|lumaki|Maging may sapat na gulang|I grew up near the sea.
get along|phrasal verb|To have a friendly relationship|magkasundo|Maging maayos ang samahan|The cousins get along very well.
get over|phrasal verb|To recover from something|makabangon|Makalimutan o makarecover|It took a month to get over the flu.
put off|phrasal verb|To postpone something|ipagpaliban|Ilipat sa ibang araw|We put off the trip until May.
call off|phrasal verb|To cancel something|kanselahin|Ihinto o kanselahin ang plano|They called off the match.
set up|phrasal verb|To arrange or establish something|itatag|Ihanda o itayo ang isang bagay|She set up her own bakery.
show up|phrasal verb|To arrive or appear|dumating|Sumipot sa isang lugar|He showed up an hour late.
break down|phrasal verb|To stop working, or to lose control of emotion|masira|Huminto sa paggana o mag-iyak|Our car broke down on the hill.
give in|phrasal verb|To stop resisting|magpatalo|Sumuko na sa pangungulit|The parents gave in and bought the toy.
look up|phrasal verb|To search for information in a reference|hanapin sa diksyunaryo|Tingnan sa sanggunian|Look up the word in the dictionary.
look out|phrasal verb|To be careful|mag-ingat|Maging alerto sa panganib|Look out, the floor is wet.
check in|phrasal verb|To register at a hotel or airport|mag-check in|Magpatala sa hotel o paliparan|We checked in two hours early.
check out|phrasal verb|To leave a hotel, or to examine something|mag-check out|Umalis sa hotel o suriin ang bagay|Check out this new song.
take care of|phrasal verb|To look after or handle something|pangalagaan|Alagaan o asikasuhin|I will take care of the bill.
turn up|phrasal verb|To arrive, or to increase volume|dumating o lakasan|Sumipot o lakasan ang tunog|Turn up the radio a little.
turn down|phrasal verb|To reject, or to lower volume|tanggihan o hinaan|Tanggihan ang alok o hinaan ang tunog|She turned down the offer politely.
put away|phrasal verb|To return something to its place|itago|Ibalik ang bagay sa lalagyan|Put away your toys before bed.
put up with|phrasal verb|To tolerate something unpleasant|magtiis|Tiisin ang hindi kanais-nais|I cannot put up with the noise.
come across|phrasal verb|To find by chance|matagpuan|Makita nang hindi sinasadya|I came across an old photo.
come up with|phrasal verb|To think of an idea|makaisip|Makabuo ng ideya|She came up with a clever plan.
get rid of|phrasal verb|To remove something unwanted|alisin|Tanggalin ang hindi kailangan|We got rid of the broken chair.
keep on|phrasal verb|To continue doing something|magpatuloy|Ipagpatuloy nang walang tigil|He kept on asking questions.
hang on|phrasal verb|To wait a moment|maghintay|Hintayin nang saglit|Hang on, I am nearly ready.
hurry up|phrasal verb|To move faster|magmadali|Bilisan ang paggawa|Hurry up or we will miss it.
calm down|phrasal verb|To become less upset|kumalma|Huminahon at magpakatatag|Calm down and tell me slowly.
cheer up|phrasal verb|To become happier|pasayahin|Magaan ang pakiramdam|Cheer up, tomorrow is a new day.
dress up|phrasal verb|To wear smart or special clothes|mag-ayos|Magbihis ng maganda|We dressed up for the wedding.
eat out|phrasal verb|To eat at a restaurant|kumain sa labas|Kumain sa kainan at hindi sa bahay|We eat out on Fridays.
go over|phrasal verb|To review something carefully|balikan|Suriin nang mabuti|Let us go over the notes again.
run into|phrasal verb|To meet someone unexpectedly|makasalubong|Makita nang hindi inaasahan|I ran into my teacher at the market.
sort out|phrasal verb|To organise or resolve something|ayusin|Ilagay sa ayos o lutasin|I need to sort out my papers.
try on|phrasal verb|To wear clothing to test the fit|isukat|Isukat ang damit|Try on the blue shirt.
warm up|phrasal verb|To become warmer, or to prepare the body|magpainit|Painitin o magpainit ng katawan|Warm up before you run.
give away|phrasal verb|To donate, or to reveal a secret|ipamigay|Ibigay nang walang bayad o ibunyag|Do not give away the ending.
pick up|phrasal verb|To lift something, or to collect someone|dampot o sunduin|Damputin o sunduin ang tao|I will pick you up at eight.
drop off|phrasal verb|To deliver someone or something|ihatid|Ihatid sa isang lugar|Can you drop off this parcel.
end up|phrasal verb|To finally reach a state or place|napunta|Napunta sa huling kalagayan|We ended up walking home.
count on|phrasal verb|To rely on someone|umasa|Magtiwala at umasa sa iba|You can count on me.
back up|phrasal verb|To support, or to make a copy|suportahan|Tumulong o gumawa ng kopya|Back up your files weekly.
